Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
coap-con,16,1,100kbit,5%,20ms,20,100.0,29.29997444152832,17.888836685501598,128.0,1765110804.792616
coap-con,16,1,100kbit,5%,100ms,100,80.0,111.49996519088745,18.784423400927214,102.4,1765110818.332808
coap-con,16,1,50kbit,0%,0ms,0,100.0,20.70000171661377,56.34230255309074,128.0,1765110859.311158
coap-con,16,1,50kbit,0%,20ms,20,100.0,44.00002956390381,53.13713103581676,128.0,1765110879.93892
coap-con,16,1,50kbit,0%,100ms,100,100.0,122.10001945495605,50.98461781580347,128.0,1765110900.550533
coap-con,16,1,50kbit,0%,500ms,500,100.0,510.10003089904785,17.27842948958324,128.0,1765110920.215203
coap-con,16,1,50kbit,1%,0ms,0,100.0,249.50003623962402,690.1941872285308,128.0,1765110940.0231712
coap-con,16,1,50kbit,1%,20ms,20,100.0,66.49999618530273,117.83345871110924,128.0,1765110961.486497
coap-con,16,1,50kbit,1%,100ms,100,100.0,107.900071144104,14.89557131975415,128.0,1765110981.074717
coap-con,16,1,50kbit,1%,500ms,500,100.0,511.20002269744873,21.775602368812706,128.0,1765111000.655963
coap-con,16,1,50kbit,5%,0ms,0,100.0,11.799955368041992,20.51450562085124,128.0,1765111020.360268
coap-con,16,1,50kbit,5%,20ms,20,100.0,28.299975395202637,13.808596729155584,128.0,1765111040.010622
coap-con,16,1,50kbit,5%,100ms,100,100.0,112.89992332458496,26.805668522830988,128.0,1765111059.621511
coap-con,16,1,50kbit,5%,500ms,500,100.0,519.7000503540039,39.04999001949806,128.0,1765111079.48285
coap-con,16,1,50kbit,10%,0ms,0,100.0,6.800055503845215,14.520499542518769,128.0,1765111099.179251
coap-con,16,1,50kbit,10%,20ms,20,100.0,1311.299991607666,2693.4109538138905,128.0,1765111118.810139
coap-con,16,1,50kbit,10%,100ms,100,100.0,111.59999370574951,14.416049634117451,128.0,1765111138.3958771
