Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
coap-non,16,1,100kbit,5%,20ms,20,100.0,29.399967193603516,17.49413881305841,128.0,1765110805.172788
coap-non,16,1,100kbit,5%,100ms,100,80.0,111.49999499320984,17.328770665258094,102.4,1765110817.8684092
coap-non,16,1,50kbit,0%,0ms,0,100.0,22.39997386932373,61.012245976051375,128.0,1765110856.4086149
coap-non,16,1,50kbit,0%,20ms,20,100.0,59.599971771240234,63.40557223044926,128.0,1765110877.751816
coap-non,16,1,50kbit,0%,100ms,100,100.0,114.40005302429199,23.032319773633755,128.0,1765110897.460181
coap-non,16,1,50kbit,0%,500ms,500,100.0,508.59999656677246,14.968072516175942,128.0,1765110917.131503
coap-non,16,1,50kbit,1%,0ms,0,100.0,8.499979972839355,16.201907828638063,128.0,1765110937.192977
coap-non,16,1,50kbit,1%,20ms,20,100.0,68.29996109008789,75.2152915592901,128.0,1765110956.954496
coap-non,16,1,50kbit,1%,100ms,100,100.0,108.79998207092285,16.061021625431945,128.0,1765110976.61123
coap-non,16,1,50kbit,1%,500ms,500,100.0,509.49997901916504,18.53676869172522,128.0,1765110996.2186491
coap-non,16,1,50kbit,5%,0ms,0,100.0,14.100003242492676,21.840067603067432,128.0,1765111015.799346
coap-non,16,1,50kbit,5%,20ms,20,100.0,29.700016975402832,14.621554717926433,128.0,1765111035.43568
coap-non,16,1,50kbit,5%,100ms,100,90.0,110.55556933085124,18.615186002126077,115.2,1765111054.63265
coap-non,16,1,50kbit,5%,500ms,500,90.0,510.8889208899604,15.640041735839132,115.2,1765111074.318528
coap-non,16,1,50kbit,10%,0ms,0,80.0,7.249981164932251,16.06902681946974,102.4,1765111094.063201
coap-non,16,1,50kbit,10%,20ms,20,90.0,28.888914320203995,14.048507718251866,115.2,1765111113.730797
coap-non,16,1,50kbit,10%,100ms,100,90.0,110.99995507134332,16.985263833043952,115.2,1765111133.460971
coap-non,16,1,50kbit,10%,500ms,500,80.0,511.12499833106995,20.622039541344986,102.4,1765111152.664808
coap-non,16,1,100kbit,0%,0ms,0,100.0,8.39993953704834,18.52443818087942,128.0,1765111172.2268422
coap-non,16,1,100kbit,0%,20ms,20,100.0,30.7999849319458,15.440170086205583,128.0,1765111191.817676
coap-non,16,1,100kbit,0%,100ms,100,100.0,109.39998626708984,16.460104035521383,128.0,1765111211.486943
coap-non,16,1,100kbit,0%,500ms,500,100.0,509.80002880096436,17.712575685421193,128.0,1765111231.020524
coap-non,16,1,100kbit,1%,0ms,0,100.0,8.19995403289795,15.06872464620676,128.0,1765111250.464851
coap-non,16,1,100kbit,1%,20ms,20,90.0,30.8888488345676,21.115396561705126,115.2,1765111270.285144
