Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
http,16,1,50kbit,0%,0ms,0,100.0,8.899950981140137,16.339833580580677,128.0,1765110852.158858
http,16,1,50kbit,0%,20ms,20,100.0,53.100037574768066,52.52820180850299,128.0,1765110871.639301
http,16,1,50kbit,0%,100ms,100,100.0,145.79994678497314,85.85097723942623,128.0,1765110891.19871
http,16,1,50kbit,0%,500ms,500,100.0,608.5000038146973,333.6239859937899,128.0,1765110922.670687
http,16,1,50kbit,1%,0ms,0,100.0,11.799955368041992,22.07460481531919,128.0,1765110942.418174
http,16,1,50kbit,1%,20ms,20,100.0,40.70005416870117,52.50619108077897,128.0,1765110964.594934
http,16,1,50kbit,1%,100ms,100,100.0,230.1999568939209,401.8945809113534,128.0,1765110984.72834
http,16,1,50kbit,1%,500ms,500,100.0,608.9999914169312,331.3446702322646,128.0,1765111015.249158
http,16,1,50kbit,5%,0ms,0,100.0,4.500007629394531,8.656978474540573,128.0,1765111034.4992929
http,16,1,50kbit,5%,20ms,20,100.0,30.900001525878906,21.604788726051172,128.0,1765111053.834961
http,16,1,50kbit,5%,100ms,100,100.0,853.7000417709351,1579.235664625905,128.0,1765111080.169052
http,16,1,50kbit,5%,500ms,500,100.0,787.1999979019165,625.2181551716294,128.0,1765111116.4688792
http,16,1,50kbit,10%,0ms,0,100.0,51.199984550476074,135.51207598265947,128.0,1765111135.804078
http,16,1,50kbit,10%,20ms,20,100.0,58.20000171661377,80.12184298887694,128.0,1765111155.252485
http,16,1,50kbit,10%,100ms,100,100.0,218.6999797821045,193.35981232920352,128.0,1765111174.4431958
http,16,1,50kbit,10%,500ms,500,100.0,608.8000535964966,327.90032446837984,128.0,1765111208.268666
http,16,1,100kbit,0%,0ms,0,100.0,4.999995231628418,8.178527109076882,128.0,1765111227.515418
http,16,1,100kbit,0%,20ms,20,100.0,30.700016021728516,21.623283711484987,128.0,1765111246.885914
http,16,1,100kbit,0%,100ms,100,100.0,129.29997444152832,81.42619174208332,128.0,1765111266.672534
http,16,1,100kbit,0%,500ms,500,100.0,608.0000400543213,328.89178026973224,128.0,1765111297.5556638
http,16,1,100kbit,1%,0ms,0,100.0,6.999969482421875,8.23273747927123,128.0,1765111316.832266
http,16,1,100kbit,1%,20ms,20,100.0,30.900025367736816,22.24329249318351,128.0,1765111336.051311
http,16,1,100kbit,1%,100ms,100,100.0,129.20000553131104,74.94116300293915,128.0,1765111355.0258718
http,16,1,100kbit,1%,500ms,500,100.0,610.4000091552734,331.2307557641025,128.0,1765111385.865568
http,16,1,100kbit,5%,0ms,0,100.0,28.299975395202637,64.6993897617923,128.0,1765111405.402538
http,16,1,100kbit,5%,20ms,20,100.0,60.09998321533203,82.19545002975485,128.0,1765111425.0561101
http,16,1,100kbit,5%,100ms,100,100.0,199.399995803833,220.16978866903906,128.0,1765111445.031147
http,16,1,100kbit,5%,500ms,500,100.0,809.500002861023,681.4455868189739,128.0,1765111479.650847
http,16,1,100kbit,10%,0ms,0,100.0,28.19998264312744,65.79062897586645,128.0,1765111501.439934
http,16,1,100kbit,10%,20ms,20,100.0,105.20002841949463,117.27342765408508,128.0,1765111520.7821162
http,16,1,100kbit,10%,100ms,100,100.0,127.70001888275146,77.4252324018112,128.0,1765111540.062592
http,16,1,100kbit,10%,500ms,500,100.0,713.8000726699829,662.7469681852642,128.0,1765111579.369573
http,16,1,250kbit,0%,0ms,0,100.0,4.900002479553223,8.912535519449934,128.0,1765111598.7919948
http,16,1,250kbit,0%,20ms,20,100.0,32.70001411437988,22.020447828939066,128.0,1765111618.2053142
http,16,1,250kbit,0%,100ms,100,100.0,130.4999828338623,79.62861468598751,128.0,1765111637.6893592
http,16,1,250kbit,0%,500ms,500,100.0,609.000039100647,335.2040569955085,128.0,1765111668.3501508
http,16,1,250kbit,1%,0ms,0,100.0,8.600020408630371,11.187307107556654,128.0,1765111687.955544
http,16,1,250kbit,1%,20ms,20,100.0,31.600022315979004,23.8196835626406,128.0,1765111707.3190668
http,16,1,250kbit,1%,100ms,100,100.0,129.9999475479126,78.01995767359021,128.0,1765111726.690586
http,16,1,250kbit,1%,500ms,500,100.0,822.4000215530396,716.4228095987271,128.0,1765111760.191604
http,16,1,250kbit,5%,0ms,0,100.0,5.100059509277344,9.631538216603595,128.0,1765111779.614879
http,16,1,250kbit,5%,20ms,20,100.0,40.90001583099365,48.986296586188914,128.0,1765111799.024228
http,16,1,250kbit,5%,100ms,100,100.0,180.30002117156982,170.42240840391764,128.0,1765111818.563596
http,16,1,250kbit,5%,500ms,500,100.0,608.6000204086304,329.3823119424077,128.0,1765111849.0908039
http,16,1,250kbit,10%,0ms,0,100.0,6.100010871887207,13.016640795365674,128.0,1765111868.736494
http,16,1,250kbit,10%,20ms,20,100.0,30.80000877380371,23.663398818273645,128.0,1765111888.036851
http,16,1,250kbit,10%,100ms,100,100.0,174.90005493164062,159.42080901037684,128.0,1765111907.5033941
http,16,1,250kbit,10%,500ms,500,100.0,1385.0000381469727,1711.1698792950308,128.0,1765111955.907447
http,16,1,1mbit,0%,0ms,0,100.0,5.59999942779541,7.763228811650953,128.0,1765111975.4057019
http,16,1,1mbit,0%,20ms,20,100.0,31.399989128112793,23.561756201429336,128.0,1765111994.7763479
http,16,1,1mbit,0%,100ms,100,100.0,127.20000743865967,76.1837291529882,128.0,1765112013.775566
http,16,1,1mbit,0%,500ms,500,100.0,608.5999727249146,327.9739275790452,128.0,1765112044.343484
http,16,1,1mbit,1%,0ms,0,100.0,5.299997329711914,10.863302448515999,128.0,1765112063.68123
http,16,1,1mbit,1%,20ms,20,100.0,31.50005340576172,24.6136876870857,128.0,1765112082.730957
http,16,1,1mbit,1%,100ms,100,100.0,129.8999309539795,75.91576571838631,128.0,1765112102.497188
http,16,1,1mbit,1%,500ms,500,100.0,606.0999870300293,328.1400188661555,128.0,1765112133.388598
http,16,1,1mbit,5%,0ms,0,100.0,11.899924278259277,15.961375716529155,128.0,1765112152.9771678
http,16,1,1mbit,5%,20ms,20,100.0,31.600022315979004,25.89808753739978,128.0,1765112172.445655
http,16,1,1mbit,5%,100ms,100,100.0,130.50005435943604,76.08218827633652,128.0,1765112191.984753
http,16,1,1mbit,5%,500ms,500,100.0,607.6999187469482,327.9397029197207,128.0,1765112225.8353631
http,16,1,1mbit,10%,0ms,0,100.0,32.79998302459717,83.1769192570809,128.0,1765112245.2441442
http,16,1,1mbit,10%,20ms,20,100.0,56.90000057220459,81.39806955796811,128.0,1765112264.990637
