Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
xmpp-qos1,16,1,100kbit,1%,20ms,20,100.0,27.79996395111084,12.856531101858538,128.0,1765110811.203507
xmpp-qos1,16,1,100kbit,1%,100ms,100,0.0,0,0,0.0,1765110817.620785
xmpp-qos1,16,1,50kbit,0%,0ms,0,100.0,32.50000476837158,42.46636609648006,128.0,1765110870.366055
xmpp-qos1,16,1,50kbit,0%,20ms,20,100.0,36.19997501373291,21.801104032955852,128.0,1765110891.010242
xmpp-qos1,16,1,50kbit,0%,100ms,100,100.0,123.7999677658081,61.94046765685998,128.0,1765110913.117204
xmpp-qos1,16,1,50kbit,0%,500ms,500,100.0,828.7999391555786,477.11975778080296,128.0,1765110941.375146
xmpp-qos1,16,1,50kbit,1%,0ms,0,100.0,17.00000762939453,25.359608777178188,128.0,1765110962.793379
xmpp-qos1,16,1,50kbit,1%,20ms,20,100.0,54.400038719177246,77.87338873308076,128.0,1765110982.945538
xmpp-qos1,16,1,50kbit,1%,100ms,100,100.0,123.59998226165771,62.348802943307994,128.0,1765111004.466536
xmpp-qos1,16,1,50kbit,1%,500ms,500,100.0,829.200005531311,468.5565264971627,128.0,1765111032.721159
xmpp-qos1,16,1,50kbit,5%,0ms,0,100.0,44.90005970001221,88.20743093850511,128.0,1765111054.99197
xmpp-qos1,16,1,50kbit,5%,20ms,20,100.0,84.69998836517334,121.76027433844422,128.0,1765111075.282167
xmpp-qos1,16,1,50kbit,5%,100ms,100,100.0,400.1999616622925,575.5106750941892,128.0,1765111096.871451
xmpp-qos1,16,1,50kbit,5%,500ms,500,100.0,838.7000322341919,466.8411646818376,128.0,1765111128.053122
xmpp-qos1,16,1,50kbit,10%,0ms,0,100.0,23.29998016357422,64.56703211857443,128.0,1765111151.50661
xmpp-qos1,16,1,50kbit,10%,20ms,20,100.0,51.599931716918945,90.09531323263248,128.0,1765111171.914044
xmpp-qos1,16,1,50kbit,10%,100ms,100,100.0,175.5000352859497,166.87339465784765,128.0,1765111194.6243432
xmpp-qos1,16,1,50kbit,10%,500ms,500,100.0,837.3999834060669,469.5532682235843,128.0,1765111226.0734851
xmpp-qos1,16,1,100kbit,0%,0ms,0,100.0,2.599978446960449,1.712678724659417,128.0,1765111246.1606169
xmpp-qos1,16,1,100kbit,0%,20ms,20,100.0,30.299997329711914,19.073209046692785,128.0,1765111266.8683982
xmpp-qos1,16,1,100kbit,0%,100ms,100,100.0,122.49996662139893,63.08057974215788,128.0,1765111288.048991
xmpp-qos1,16,1,100kbit,0%,500ms,500,100.0,837.4999761581421,467.6832170902333,128.0,1765111316.0643451
xmpp-qos1,16,1,100kbit,1%,0ms,0,100.0,22.69999980926514,62.318286664473604,128.0,1765111335.908087
xmpp-qos1,16,1,100kbit,1%,20ms,20,100.0,26.999998092651367,14.094883353003004,128.0,1765111356.07292
xmpp-qos1,16,1,100kbit,1%,100ms,100,100.0,123.60005378723145,62.69892514452448,128.0,1765111377.6798809
xmpp-qos1,16,1,100kbit,1%,500ms,500,100.0,843.3000087738037,468.24093389625017,128.0,1765111405.6776488
