Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
zenoh-reliable,16,1,100kbit,10%,20ms,20,90.0,75.11109775967068,144.9761801917669,115.2,1765110807.565768
zenoh-reliable,16,1,100kbit,10%,100ms,100,40.0,103.50000858306885,3.51176582374368,51.2,1765110818.13394
zenoh-reliable,16,1,50kbit,0%,0ms,0,100.0,2.6999711990356445,5.056339450761484,128.0,1765110853.301024
zenoh-reliable,16,1,50kbit,0%,20ms,20,100.0,47.69999980926514,46.363423651467116,128.0,1765110871.0251389
zenoh-reliable,16,1,50kbit,0%,100ms,100,90.0,106.55556784735785,7.418046723468995,115.2,1765110888.4007208
zenoh-reliable,16,1,50kbit,0%,500ms,500,60.0,506.8333148956299,11.88972789167176,76.8,1765110907.976465
zenoh-reliable,16,1,50kbit,1%,0ms,0,100.0,1.4000177383422852,2.3664730927662507,128.0,1765110924.6908412
zenoh-reliable,16,1,50kbit,1%,20ms,20,100.0,24.399971961975098,5.01554186260225,128.0,1765110942.070902
zenoh-reliable,16,1,50kbit,1%,100ms,100,80.0,103.74996066093445,5.824856178207252,102.4,1765110962.005089
zenoh-reliable,16,1,50kbit,1%,500ms,500,60.0,504.50003147125244,7.120409561379718,76.8,1765110981.0284858
zenoh-reliable,16,1,50kbit,5%,0ms,0,100.0,21.49999141693115,66.23402907245897,128.0,1765110997.496078
zenoh-reliable,16,1,50kbit,5%,20ms,20,100.0,33.60002040863037,30.40910147334302,128.0,1765111014.714744
zenoh-reliable,16,1,50kbit,5%,100ms,100,90.0,159.22225846184625,166.10746529593126,115.2,1765111031.949878
zenoh-reliable,16,1,50kbit,5%,500ms,500,60.0,731.3332955042521,475.63212566157205,76.8,1765111050.359675
zenoh-reliable,16,1,50kbit,10%,0ms,0,100.0,42.999982833862305,87.25826053570188,128.0,1765111066.660058
zenoh-reliable,16,1,50kbit,10%,20ms,20,90.0,106.88887702094183,174.48674336837553,115.2,1765111084.0899808
zenoh-reliable,16,1,50kbit,10%,100ms,100,90.0,102.99997859530978,2.121349229641964,115.2,1765111101.2503319
zenoh-reliable,16,1,50kbit,10%,500ms,500,60.0,826.8333673477173,794.6994705289596,76.8,1765111119.310722
zenoh-reliable,16,1,100kbit,0%,0ms,0,100.0,3.4999847412109375,3.0641839575235794,128.0,1765111135.8034391
zenoh-reliable,16,1,100kbit,0%,20ms,20,100.0,23.200011253356934,2.2997392020598952,128.0,1765111152.6271732
zenoh-reliable,16,1,100kbit,0%,100ms,100,90.0,103.11110814412434,2.1474115839460572,115.2,1765111169.896669
zenoh-reliable,16,1,100kbit,0%,500ms,500,60.0,502.83336639404297,3.0604973539350513,76.8,1765111189.051349
zenoh-reliable,16,1,100kbit,1%,0ms,0,100.0,1.999974250793457,3.9440628612935567,128.0,1765111205.7745652
zenoh-reliable,16,1,100kbit,1%,20ms,20,100.0,21.899986267089844,2.1833128982881664,128.0,1765111222.551767
zenoh-reliable,16,1,100kbit,1%,100ms,100,90.0,103.66667641533746,5.1477700226468865,115.2,1765111239.850137
zenoh-reliable,16,1,100kbit,1%,500ms,500,60.0,507.33335812886554,10.930105876177299,76.8,1765111258.3539479
zenoh-reliable,16,1,100kbit,5%,0ms,0,100.0,1.2000322341918945,2.097604584492349,128.0,1765111274.729268
zenoh-reliable,16,1,100kbit,5%,20ms,20,100.0,22.59998321533203,3.1340959489076856,128.0,1765111291.430121
zenoh-reliable,16,1,100kbit,5%,100ms,100,90.0,103.66662343343098,2.8722702840345438,115.2,1765111308.833924
zenoh-reliable,16,1,100kbit,5%,500ms,500,60.0,503.66659959157306,5.085931575364458,76.8,1765111328.0693362
zenoh-reliable,16,1,100kbit,10%,0ms,0,100.0,22.200036048889157,68.09765810051782,128.0,1765111344.5853992
zenoh-reliable,16,1,100kbit,10%,20ms,20,70.0,60.28567041669573,93.57294021911999,89.6,1765111361.61603
zenoh-reliable,16,1,100kbit,10%,100ms,100,80.0,166.12499952316284,170.29670458702185,102.4,1765111379.7901719
zenoh-reliable,16,1,100kbit,10%,500ms,500,60.0,505.0000747044881,7.456620612991946,76.8,1765111402.459223
zenoh-reliable,16,1,250kbit,0%,0ms,0,100.0,2.0000457763671875,3.915773602184013,128.0,1765111419.218665
zenoh-reliable,16,1,250kbit,0%,20ms,20,100.0,24.900007247924805,4.254416192622021,128.0,1765111436.3585842
zenoh-reliable,16,1,250kbit,0%,100ms,100,90.0,103.33334075080023,3.0822124429754374,115.2,1765111453.184327
zenoh-reliable,16,1,250kbit,0%,500ms,500,60.0,504.66664632161456,4.366557844528354,76.8,1765111471.8501928
zenoh-reliable,16,1,250kbit,1%,0ms,0,100.0,1.8000364303588867,2.394479086089734,128.0,1765111488.5900228
zenoh-reliable,16,1,250kbit,1%,20ms,20,90.0,22.888872358534073,1.5365160087372371,115.2,1765111505.765738
zenoh-reliable,16,1,250kbit,1%,100ms,100,90.0,102.88892851935492,1.9003184446628696,115.2,1765111522.924015
zenoh-reliable,16,1,250kbit,1%,500ms,500,60.0,629.6667257944742,311.74004933564044,76.8,1765111541.925379
zenoh-reliable,16,1,250kbit,5%,0ms,0,90.0,4.888878928290473,12.810602944088219,115.2,1765111559.102537
zenoh-reliable,16,1,250kbit,5%,20ms,20,100.0,28.100013732910156,20.03026638220452,128.0,1765111576.450888
zenoh-reliable,16,1,250kbit,5%,100ms,100,90.0,102.55553987291124,2.4037305201142836,115.2,1765111593.6714182
zenoh-reliable,16,1,250kbit,5%,500ms,500,60.0,503.9999882380168,3.687822024514241,76.8,1765111614.650363
zenoh-reliable,16,1,250kbit,10%,0ms,0,100.0,23.099994659423825,63.75552255290188,128.0,1765111631.294542
zenoh-reliable,16,1,250kbit,10%,20ms,20,90.0,1031.3333405388726,1426.385829579827,115.2,1765111648.3031008
zenoh-reliable,16,1,250kbit,10%,100ms,100,60.0,2232.83322652181,1760.9967303658564,76.8,1765111666.319202
zenoh-reliable,16,1,250kbit,10%,500ms,500,50.0,932.4000358581543,945.1472978105653,64.0,1765111686.1339588
zenoh-reliable,16,1,1mbit,0%,0ms,0,100.0,1.3999700546264648,2.0655799157886348,128.0,1765111702.683245
zenoh-reliable,16,1,1mbit,0%,20ms,20,100.0,22.699999809265137,4.3981824206749,128.0,1765111719.503511
zenoh-reliable,16,1,1mbit,0%,100ms,100,90.0,103.33336724175348,4.500000566086863,115.2,1765111736.578201
zenoh-reliable,16,1,1mbit,0%,500ms,500,60.0,503.1666358311971,3.1250952765455917,76.8,1765111755.583432
zenoh-reliable,16,1,1mbit,1%,0ms,0,100.0,1.3999700546264648,2.0110769199906073,128.0,1765111772.120069
zenoh-reliable,16,1,1mbit,1%,20ms,20,100.0,23.000025749206543,2.309440172591204,128.0,1765111789.1297832
zenoh-reliable,16,1,1mbit,1%,100ms,100,80.0,103.37501764297485,3.9256110079051196,102.4,1765111807.509232
zenoh-reliable,16,1,1mbit,1%,500ms,500,60.0,506.00000222524005,4.979972325800125,76.8,1765111826.538164
zenoh-reliable,16,1,1mbit,5%,0ms,0,100.0,1.399993896484375,1.776340126288168,128.0,1765111842.627197
zenoh-reliable,16,1,1mbit,5%,20ms,20,90.0,59.777869118584526,83.82392956517877,115.2,1765111860.292214
zenoh-reliable,16,1,1mbit,5%,100ms,100,80.0,102.87493467330933,2.9970096728160183,102.4,1765111878.7978098
zenoh-reliable,16,1,1mbit,5%,500ms,500,50.0,503.00002098083496,3.3911828515597104,64.0,1765111896.8298812
zenoh-reliable,16,1,1mbit,10%,0ms,0,100.0,45.30003070831299,88.17920830965639,128.0,1765111913.409575
zenoh-reliable,16,1,1mbit,10%,20ms,20,100.0,47.60003089904785,79.22147913652486,128.0,1765111930.126615
zenoh-reliable,16,1,1mbit,10%,100ms,100,80.0,277.99996733665466,420.85892920050384,102.4,1765111947.20271
zenoh-reliable,16,1,1mbit,10%,500ms,500,60.0,1008.1666707992554,840.8551506512058,76.8,1765111966.324748
zenoh-reliable,16,10,50kbit,0%,0ms,0,99.0,0.6767691987933535,1.9578681587002513,1267.2,1765111982.889367
zenoh-reliable,16,10,50kbit,0%,20ms,20,99.0,21.898994542131522,1.7583321683504616,1267.2,1765111999.5899389
zenoh-reliable,16,10,50kbit,0%,100ms,100,96.0,101.9374926884969,1.203606545921938,1228.8,1765112016.8507469
zenoh-reliable,16,10,50kbit,0%,500ms,500,64.0,505.8593899011612,20.614262635197967,819.2,1765112035.8826299
zenoh-reliable,16,10,50kbit,1%,0ms,0,99.0,2.7979792970599555,14.513145867802034,1267.2,1765112052.5239968
zenoh-reliable,16,10,50kbit,1%,20ms,20,99.0,24.080806308322483,15.484467227924563,1267.2,1765112069.237358
zenoh-reliable,16,10,50kbit,1%,100ms,100,95.0,118.7368443137721,56.93576921519971,1216.0,1765112086.687773
zenoh-reliable,16,10,50kbit,1%,500ms,500,64.0,504.8281028866768,18.637357614207048,819.2,1765112106.164922
zenoh-reliable,16,10,50kbit,5%,0ms,0,94.0,3.8510510262022626,17.964682962738493,1203.2,1765112123.228883
zenoh-reliable,16,10,50kbit,5%,20ms,20,99.0,40.23231400383843,61.04345038521574,1267.2,1765112140.311168
zenoh-reliable,16,10,50kbit,5%,100ms,100,95.0,171.957896885119,182.07269239634547,1216.0,1765112157.568752
zenoh-reliable,16,10,50kbit,5%,500ms,500,63.0,959.3809521387494,443.7163295939735,806.4,1765112176.7048671
zenoh-reliable,16,10,50kbit,10%,0ms,0,99.0,15.19191385519625,36.3968204919048,1267.2,1765112193.499816
zenoh-reliable,16,10,50kbit,10%,20ms,20,99.0,62.64646848042806,93.11736138156978,1267.2,1765112210.97737
zenoh-reliable,16,10,50kbit,10%,100ms,100,89.0,240.07864480607964,187.88454029013747,1139.2,1765112228.5238762
zenoh-reliable,16,10,50kbit,10%,500ms,500,11.0,1232.272733341564,844.9851055536825,140.8,1765112246.9913962
zenoh-reliable,16,10,100kbit,0%,0ms,0,99.0,0.5050476151283341,1.1372483408411618,1267.2,1765112263.6576908
zenoh-reliable,16,10,100kbit,0%,20ms,20,99.0,22.373734098492246,2.848515662986674,1267.2,1765112280.9747682
zenoh-reliable,16,10,100kbit,0%,100ms,100,95.0,101.72631866053531,0.9043764555377766,1216.0,1765112298.260332
zenoh-reliable,16,10,100kbit,0%,500ms,500,64.0,505.2499957382679,19.34319670956061,819.2,1765112317.254418
zenoh-reliable,16,10,100kbit,1%,0ms,0,99.0,1.9292975917006985,10.297859541537601,1267.2,1765112333.86218
zenoh-reliable,16,10,100kbit,1%,20ms,20,99.0,22.333342619616577,1.7437979520922327,1267.2,1765112350.648732
zenoh-reliable,16,10,100kbit,1%,100ms,100,95.0,101.77894391511616,1.7696122974824342,1216.0,1765112367.861581
zenoh-reliable,16,10,100kbit,1%,500ms,500,64.0,767.6406018435955,402.38513073928436,819.2,1765112387.064302
zenoh-reliable,16,10,100kbit,5%,0ms,0,99.0,7.848477122759578,25.904609142355667,1267.2,1765112403.7814488
zenoh-reliable,16,10,100kbit,5%,20ms,20,99.0,43.636350920706086,60.86341881900346,1267.2,1765112420.532056
zenoh-reliable,16,10,100kbit,5%,100ms,100,95.0,140.157897848832,113.96409580460103,1216.0,1765112437.6937358
zenoh-reliable,16,10,100kbit,5%,500ms,500,60.0,846.316667397817,445.0990494722546,768.0,1765112455.705627
zenoh-reliable,16,10,100kbit,10%,0ms,0,83.0,28.45782831490758,69.49999874502011,1062.4,1765112473.056051
zenoh-reliable,16,10,100kbit,10%,20ms,20,99.0,60.62627801991472,71.72928883825104,1267.2,1765112489.877852
zenoh-reliable,16,10,100kbit,10%,100ms,100,93.0,359.63439685042187,338.4376939712369,1190.4,1765112507.3263848
zenoh-reliable,16,10,100kbit,10%,500ms,500,59.0,1229.440721414857,458.7778573160379,755.2,1765112526.035267
zenoh-reliable,16,10,250kbit,0%,0ms,0,99.0,0.6565566014761878,0.7714523640360275,1267.2,1765112542.509127
zenoh-reliable,16,10,250kbit,0%,20ms,20,99.0,22.656570781360973,2.268505986317789,1267.2,1765112559.346287
zenoh-reliable,16,10,250kbit,0%,100ms,100,95.0,102.14736838089793,3.373767456605015,1216.0,1765112576.763732
zenoh-reliable,16,10,250kbit,0%,500ms,500,64.0,505.4375045001507,16.704590615244634,819.2,1765112595.977879
zenoh-reliable,16,10,250kbit,1%,0ms,0,99.0,1.7171700795491536,10.198084949803844,1267.2,1765112612.1922402
zenoh-reliable,16,10,250kbit,1%,20ms,20,99.0,25.232310246939612,16.476840579475237,1267.2,1765112628.9324899
zenoh-reliable,16,10,250kbit,1%,100ms,100,95.0,101.61052754050807,1.9694168312753595,1216.0,1765112646.3879712
zenoh-reliable,16,10,250kbit,1%,500ms,500,64.0,504.78125363588333,17.999533546067145,819.2,1765112665.526338
zenoh-reliable,16,10,250kbit,5%,0ms,0,99.0,2.969693655919547,14.765833731574203,1267.2,1765112681.93631
zenoh-reliable,16,10,250kbit,5%,20ms,20,93.0,64.13977120512276,131.81981411284355,1190.4,1765112699.290973
zenoh-reliable,16,10,250kbit,5%,100ms,100,95.0,171.51579354938707,109.38171757046555,1216.0,1765112716.563266
zenoh-reliable,16,10,250kbit,5%,500ms,500,64.0,897.5937105715275,394.76508385331675,819.2,1765112735.612482
zenoh-reliable,16,10,250kbit,10%,0ms,0,92.0,153.78260353337163,337.53420267376475,1177.6,1765112752.715203
zenoh-reliable,16,10,250kbit,10%,20ms,20,92.0,30.05436710689379,30.571975648000258,1177.6,1765112769.792873
zenoh-reliable,16,10,250kbit,10%,100ms,100,95.0,176.83158171804328,121.12308376839913,1216.0,1765112787.610535
zenoh-reliable,16,10,250kbit,10%,500ms,500,64.0,1598.9375188946724,987.4918147572844,819.2,1765112806.7099788
zenoh-reliable,16,10,1mbit,0%,0ms,0,98.0,0.734681985816177,1.7735165693682127,1254.4,1765112823.639012
zenoh-reliable,16,10,1mbit,0%,20ms,20,99.0,22.323247158166133,2.009304591105536,1267.2,1765112840.5095732
zenoh-reliable,16,10,1mbit,0%,100ms,100,95.0,101.8421072708933,1.7704046543439311,1216.0,1765112857.750201
zenoh-reliable,16,10,1mbit,0%,500ms,500,64.0,505.0625130534172,20.77536451333591,819.2,1765112876.392054
zenoh-reliable,16,10,1mbit,1%,0ms,0,99.0,0.7373684584492385,1.2664084927517487,1267.2,1765112893.061475
zenoh-reliable,16,10,1mbit,1%,20ms,20,99.0,21.898992133863043,1.5219154669450865,1267.2,1765112909.9056919
zenoh-reliable,16,10,1mbit,1%,100ms,100,95.0,110.7789441158897,40.45542687595236,1216.0,1765112927.330509
zenoh-reliable,16,10,1mbit,1%,500ms,500,64.0,637.3593956232071,313.5868523379956,819.2,1765112946.5268521
zenoh-reliable,16,10,1mbit,5%,0ms,0,99.0,7.181820243295997,24.569497678878186,1267.2,1765112963.026252
zenoh-reliable,16,10,1mbit,5%,20ms,20,99.0,28.36363243334221,26.264534783130085,1267.2,1765112979.774135
zenoh-reliable,16,10,1mbit,5%,100ms,100,89.0,154.16852543863018,106.16304620944902,1139.2,1765112997.440783
zenoh-reliable,16,10,1mbit,5%,500ms,500,64.0,1059.0312518179417,396.0053222335307,819.2,1765113017.567016
zenoh-reliable,16,10,1mbit,10%,0ms,0,99.0,25.979805474329478,62.304029971978835,1267.2,1765113034.107779
zenoh-reliable,16,10,1mbit,10%,20ms,20,98.0,63.61224699993523,91.3666920291955,1254.4,1765113050.8668091
zenoh-reliable,16,10,1mbit,10%,100ms,100,95.0,212.05263639751234,146.8867985572739,1216.0,1765113068.2061
zenoh-reliable,16,10,1mbit,10%,500ms,500,57.99999999999999,1093.931013140185,421.8344670393463,742.4,1765113086.6395252
zenoh-reliable,16,100,100kbit,0%,0ms,0,85.9,0.2619329237133022,0.636922965468026,10995.2,1765113103.259737
zenoh-reliable,16,100,100kbit,0%,20ms,20,88.1,21.761633345812864,2.246703303901808,11276.8,1765113120.538661
zenoh-reliable,16,100,100kbit,0%,100ms,100,84.39999999999999,102.17772275915642,6.049552060930943,10803.2,1765113137.683776
zenoh-reliable,16,100,100kbit,0%,500ms,500,56.699999999999996,641.765440162107,236.90223328459666,7257.6,1765113156.6063948
zenoh-reliable,16,100,100kbit,1%,0ms,0,85.6,3.413551878706317,20.12516118575444,10956.8,1765113173.1219342
zenoh-reliable,16,100,100kbit,1%,20ms,20,88.2,25.529474898530783,12.108364321179199,11289.6,1765113189.93293
zenoh-reliable,16,100,100kbit,1%,100ms,100,85.0,150.22235674016616,67.19971027674113,10880.0,1765113207.1235998
zenoh-reliable,16,100,100kbit,1%,500ms,500,56.39999999999999,646.8439812355853,240.71588531945844,7219.2,1765113226.2209191
zenoh-reliable,16,100,100kbit,5%,0ms,0,87.5,17.517717088971818,44.89651113605825,11200.0,1765113243.275583
zenoh-reliable,16,100,100kbit,5%,20ms,20,88.0,37.435223839499734,25.63696115135846,11264.0,1765113259.97561
zenoh-reliable,16,100,100kbit,5%,100ms,100,83.1,192.2996293766834,82.73545276662601,10636.8,1765113277.136642
zenoh-reliable,16,100,100kbit,5%,500ms,500,55.400000000000006,984.9891662597656,295.0523831858854,7091.2,1765113296.0497851
zenoh-reliable,16,100,100kbit,10%,0ms,0,86.7,47.22375303266233,98.42343570536657,11097.6,1765113312.6631098
zenoh-reliable,16,100,100kbit,10%,20ms,20,86.7,59.28835131855297,58.31323789316426,11097.6,1765113329.674891
zenoh-reliable,16,100,100kbit,10%,100ms,100,84.7,236.60094453705807,144.3819661547165,10841.6,1765113346.919313
zenoh-reliable,16,100,100kbit,10%,500ms,500,56.39999999999999,1042.3670191291376,304.96316241561675,7219.2,1765113368.2642272
zenoh-reliable,16,100,250kbit,0%,0ms,0,88.1,0.3019293916076591,0.567779685019897,11276.8,1765113384.7062058
zenoh-reliable,16,100,250kbit,0%,20ms,20,89.2,21.505603073958323,1.0901966501216114,11417.6,1765113401.528435
zenoh-reliable,16,100,250kbit,0%,100ms,100,85.9,102.20838203696627,7.262451582714033,10995.2,1765113419.015379
